Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
Abhishek Sharma,9,13,10,1,0,90.00,1,,v MI,Wankhede,17 May 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,43,47,32,5,2,134.37,1,,v Punjab Kings,Wankhede,22 May 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,0,3,3,0,0,0.00,2,,v RR,Hyderabad,2 Apr 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,32,28,17,3,2,188.23,1,,v KKR,Eden Gardens,14 Apr 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,1,5,2,0,0,50.00,2,,v MI,Hyderabad,18 Apr 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,34,43,26,3,1,130.76,1,,v CSK,Chennai,21 Apr 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,5,13,5,0,0,100.00,2,,v DC,Hyderabad,24 Apr 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,67,62,36,12,1,186.11,1,,v DC,Delhi,29 Apr 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,9,25,10,1,0,90.00,2,,v KKR,Hyderabad,4 May 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,55,57,34,5,2,161.76,2,,v RR,Jaipur,7 May 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,7,14,5,1,0,140.00,1,,v LSG,Hyderabad,13 May 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,5,10,5,1,0,100.00,2,,v GT,Ahmedabad,15 May 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,11,22,14,2,0,78.57,1,,v RCB,Hyderabad,18 May 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,32,36,19,4,2,168.42,2,,v KKR,Eden Gardens,23 Mar 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,63,36,23,3,7,273.91,1,,v MI,Hyderabad,27 Mar 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,29,22,20,2,2,145.00,1,,v GT,Ahmedabad,31 Mar 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,37,15,12,3,4,308.33,2,,v CSK,Hyderabad,5 Apr 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,16,-,11,2,1,145.45,1,,v Punjab Kings,Mullanpur,9 Apr 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,34,34,22,2,2,154.54,1,,v RCB,Bengaluru,15 Apr 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,46,28,12,2,6,383.33,1,,v DC,Delhi,20 Apr 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
